University_Name,TOEFL_Min,TOEFL_Thresh,Space,LOE,GPA_Info,GPA_Min,NBDE_2,Extra
Indiana University School of Dentistry,90,100,14,One letter must be from a U.S./Canadian dental professional with whom you have worked in the past 12 months. One letter must be from a U.S./Canadian organization through which you performed community service. (“Community service” is assistance you provided (without pay) through a nonprofit organization that benefits the community.),"While a minimum of a 3.0 GPA is recommended, more competitive GPAs will be given first consideration.",3,1,No information available
University of Louisville School of Dentistry,100,,,Two are required. One from a senior professor or dean of your dental school and one from a professional.,No information available,0,0,No information available
Louisiana State University Health New Orleans School of Dentistry,100,,5,1. A letter from the dean of the school from which the dental degree was issued is required. 2. Two additional letters from faculty of that school (cannot be more than 2 years old) is also required. 3. Up to three additional letters of recommendations (LORs) concerning practice experience or shadowing in a dental office encouraged.,No information available,0,0,No information available
Boston University Henry M. Goldman School of Dental Medicine,90,100,85,"A letter of evaluation from your dental school dean. (If a dean’s evaluation is not available, a letter from a dental school faculty member may be substituted). Two letters of evaluation from dental school faculty members. (A clinical supervisor’s letter may substitute for one of the dental school faculty letters).",No information available,0,0,No information available
Tufts University School of Dental Medicine,0,,30,"1. Program accepts up to three Letters of Evaluation. 2. Program prefers one Letter of Evaluation to come from the dean of the dental school from which the applicant. 3. The Letters of Evaluation must be in English from two dental school professors, or from one former dental school professor and the dean or director of your dental school. graduated.",No information available,0,1,No information available
Marquette University School of Dentistry,80,,100,Preferred that 2 are from science professors. The other can be from anyone.,1) Average overall GPA of selected students is 3.64.   2) Average science GPA of selected students is 3.56,0,0,No information available
University of Washington School of Dentistry,92,,8,3 letters are required,No information available,0,1,About 15% of applicants are called for interview
Virginia Commonwealth University School of Dentistry,94,,10,1) One letter from dean or faculty of dental school. 2) One letter from a dentist practicing in US who has worked with applicant. 3) One letter from someone who has supervised the applicant in a professional setting.,Average overall and science GPA of selected students is 3.6,0,1,100-150 hours of shadowing is required
University of Puerto Rico School of Dental Medicine,0,,,One letter preferred from dean of graduated dental school,No information available,0,0,Bench Testing Exercise:   1) Class II Amalgam cavity preparation on a bicuspid   2) PFM crown prep on one of the 1st molars (Maxilla or Mandible).   3) Class III composite cavity preparation on one of the maxillary anterior teeth(determined later)
University of Pittsburgh School of Dental Medicine,90,,7,"1) Two letters must be from dean, associate dean or faculty of dental school applicant graduated from. 2) One letter must be from a dental shadowing practice preferably from the US.","Minimum GPA of 3.0 is required, but more competitive GPAs will be considered",3,1,"1) For Outside U.S. clinical experience, the program strongly prefers one year or more of full-time experience as a practicing, licensed dentist.    2) For U.S./Canada clinical experience, program strongly prefers one year or equivalent of full-time clinical experience, such as shadowing (paid or unpaid) dental practices, working as dental assistant and/or dental hygienist."
University of Pennsylvania School of Dental Medicine,90,,38,No information available,1) Minimum required GPA is 3.0.  2) Average GPA of selected candidates is 3.4,3,1,Approximately 70 students are selected for interviews
University of Oklahoma College of Dentistry,94,,12,Two letters are required. 1) One Letter of Evaluation should come from dean or senior administrator of the dental school from which the applicant graduated. 2) Additional letter(s) from faculty at former dental school is preferred.,Average GPA of selected students is 3.58 (in 2014 for US students),0,1,"Factors looked at for selection:  leadership, ability to sustain academic achievement with competing priorities, volunteerism, communication, social background, and disadvantaged status"
University at Buffalo School of Dental Medicine,79,,24,"Letters should come from academic faulty or dental professionals who can best attest to your skills, abilities and personal attributes.",No information available,0,1,No information available
New York University College of Dentistry,100,,25,"The program requires three letters of evaluation. One letter of evaluation from the Dean of the dental school from which the applicant graduated, and two letters of evaluation from faculty members.",No information available,0,1,No information available
Columbia University College of Dental Medicine,100,,15,"Letters of recommendation from one faculty member and the academic dean of the original dental school, as well as one postdoctoral reference, if applicable.",No information available,0,1,No information available
"University of Nevada, Las Vegas School of Dental Medicine",98,,8,Three letters are required. One should be from someone at the academic dean’s level at the dental school from which the student graduated.,No information available,0,1,No information available
"Rutgers, The State University of New Jersey School of Dental Medicine",0,,35,Three letters are required.,No information available,0,1,No information available
